,country,count
0,France,229
1,India,1083
2,Italy,111
3,Mexico,110
4,Brazil,283
5,Spain,426
6,Philippines,157
7,Burundi,2
8,Myanmar,42
9,Indonesia,97
10,Sri Lanka,99
11,United States,677
12,North Macedonia,64
13,Argentina,59
14,Kenya,79
15,Democratic Republic of the Congo,7
16,Nigeria,89
17,Colombia,151
18,Ghana,26
19,Netherlands,15
20,Turkey,126
21,Ireland,32
22,Latvia,12
23,Peru,25
24,Madagascar,11
25,Georgia,14
26,Paraguay,13
27,Cameroon,6
28,Taiwan,132
29,Morocco,9
30,Venezuela,42
31,Bolivia,28
32,Australia,67
33,Portugal,50
34,Denmark,30
35,United Kingdom,21
36,China,34
37,Mali,8
38,Egypt,2
39,Uganda,14
40,Costa Rica,25
41,Guatemala,13
42,Pakistan,16
43,Lithuania,36
44,Canada,64
45,Ivory Coast,9
46,New Zealand,2
47,Tanzania,5
48,Kazakhstan,17
49,Syria,2
50,Tunisia,2
51,Rwanda,1
52,Croatia,60
53,Burkina Faso,1
54,Jordan,1
55,Germany,53
56,Serbia,20
57,Hong Kong,38
58,Japan,38
59,Malaysia,8
60,Singapore,11
61,Poland,32
62,Cuba,4
63,Senegal,5
64,Thailand,35
65,South Korea,25
66,Belgium,4
67,Algeria,6
68,Ukraine,31
69,Ecuador,61
70,Ethiopia,2
71,Iceland,2
72,Zimbabwe,1
73,Russia,20
74,Azerbaijan,2
75,Finland,1
76,Iran,12
77,Israel,3
78,Bosnia and Herzegovina,19
79,Gabon,1
80,Worldwide,1
81,Greece,12
82,Nepal,1
83,Guinea,1
84,Romania,1
85,Vietnam,2
86,Fiji,2
87,Chile,3
88,United Arab Emirates,1
89,Libya,1
90,Hungary,1
91,Afghanistan,2
92,Gambia,1
93,El Salvador,2
94,South Sudan,1
95,Albania,1
96,Kosovo,1
97,Bulgaria,1
98,Saudi Arabia,1
99,North Korea,1
100,Kyrgyzstan,3
101,Mongolia,1
102,Montenegro,3
103,Uzbekistan,1
104,Africa,11
105,Middle East,133
106,Southern Africa,3
107,Multiple African countries,1
108,East Africa,14
109,West Africa,13
110,South Africa,33
111,others,2
112,North Africa,131
113,Asian countries,1
114,Europe,2
115,South America,1
116,,15168
