id,country,population,fake_count,cases_may_26_2021,fake_news_per_capita,cases_per_capita
0,China,1440297825,34,91089,2.36062288,0.632431699
1,India,1382345085,1083,27369093,78.3451261,197.9903086
2,United States,331341050,677,33190470,204.3211971,1001.701117
3,Indonesia,274021604,97,1791221,35.39866879,65.36787515
4,Pakistan,221612785,16,911302,7.219800067,41.121364
5,Brazil,212821986,283,16274695,132.9749831,764.7092909
6,Nigeria,206984347,89,166146,42.99842055,8.026983799
8,Russia,145945524,20,4968421,13.70374332,340.4298305
9,Mexico,129166028,110,2402722,85.16171141,186.0181069
10,Japan,126407422,38,731071,30.06152598,57.83449962
11,Ethiopia,115434444,2,270180,1.73258512,23.40549238
12,Philippines,109830324,157,1193976,142.947771,108.7109604
13,Egypt,102659126,2,257275,1.948195039,25.06109394
14,Vietnam,97490013,2,6086,2.051492187,0.624269073
16,Turkey,84495243,126,5212123,149.1208209,616.8540163
17,Iran,84176929,12,2865864,14.25568756,340.4571816
18,Germany,83830972,53,3667041,63.22245673,437.4327188
19,Thailand,69830779,35,137894,50.12116505,19.74687981
20,United Kingdom,67948282,21,4486168,30.90585866,660.2327341
21,France,65298930,229,5683143,350.6948736,870.3271248
22,Italy,60446035,111,4201827,183.6348737,695.1369101
23,Tanzania,60012400,5,509,8.331611467,0.084815805
24,South Africa,59436725,33,1637848,55.52122867,275.5616162
25,Myanmar,54473253,42,143318,77.10205961,26.30979281
26,Kenya,53968739,79,169356,146.3810374,31.38038856
27,South Korea,51276977,25,138311,48.75482422,26.97331397
28,Colombia,50976248,151,3294101,296.2163869,646.2031101
29,Spain,46757980,426,3657886,911.0744305,782.3019728
30,Uganda,45974931,14,44281,30.45137795,9.631553335
31,Argentina,45267449,59,3622135,130.3364809,800.1632696
32,Algeria,43984569,6,127646,13.64114765,29.02063221
34,Ukraine,43686577,31,2247605,70.96001136,514.4841172
36,Afghanistan,39074280,2,67743,5.118456437,17.33697972
37,Poland,37839255,32,2868450,84.56826119,758.061965
38,Canada,37799407,64,1374272,169.3148255,363.5697248
39,Morocco,36985624,9,517808,24.33377898,140.0025048
40,Saudi Arabia,34905942,1,444780,2.864841751,127.4224314
41,Uzbekistan,33551824,1,99064,2.980463894,29.52566752
42,Peru,33050211,25,1937245,75.64248228,586.1520824
44,Malaysia,32436963,8,533367,24.6632214,164.4318551
46,Ghana,31181428,26,93711,83.38296758,30.05346644
48,Nepal,29225196,1,535525,3.421705025,183.2408583
49,Venezuela,28421581,42,227407,147.7750305,80.01208659
50,Madagascar,27808395,11,41061,39.55640014,14.76568497
51,Cameroon,26655083,6,77982,22.50977797,29.25595842
54,Australia,25550683,67,30063,262.22391,11.76602598
